S-KNW5	S-KNW5 Knowledge-Certification Correlation Layer	Backlog	Wave 5	Medium		
S-KNW6	S-KNW6 AI Knowledge Ingestion MVP (YouTube-first)	In review	Wave 5	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/7
S-KNW7	S-KNW7 Internal RAG Assistant	Backlog	Wave 5	High		
S-KNW8	S-KNW8 Friction & Insight Mining	Done	Wave 5	Medium		
S-OPS2	S-OPS2 AI Cost Guardrails & FinOps Lite	Backlog	Wave 6	High		
S-PA1	S-PA1 Product Analytics v3	In progress	Wave 3	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/3
S-PA2	S-PA2 Admin Executive Visual Dashboards (ROI PMI)	In progress	Wave 4	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/6
S-PA2-UI-BIND	S-PA2-UI-BIND — Conectar painel admin aos RPCs executivos	In review	Wave 4	High	https://github.com/VitorMRodovalho/ai-pm-research-hub	
S-REP1	S-REP1 Exportação VRMS (PMI)	Done	Wave 4	High		
S-RM2	S-RM2 Completeness Bar & Timeline	Done	Wave 3	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/14
S-RM3	S-RM3 Gamification v2	Done	Wave 3	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/15
S-RM4	S-RM4 Admin Tiers (ACL)	Done	Wave 4	High		
S-RM5	S-RM5 Multi tenant Config	Backlog	Wave 6	Medium		
S-SC1	S-SC1 Multilingual Screenshots	Backlog	Wave 6	Low		
S-UX1	S-UX1 Trilha Progress Clarity for Researchers	Done	Wave 3	High	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/16
S10	S10 Credly Auto Sync	Done	Wave 4	Medium		
S11	S11 UI Polish & Empty States closure	In progress	Wave 3	Medium	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/5
S23	S23 Chapter Integrations	Backlog	Wave 6	Medium		
S24	S24 API for Chapters	Backlog	Wave 6	Low		
S8b	S8b i18n Internal Pages closure	In progress	Wave 3	Medium	https://github.com/VitorMRodovalho/ai-pm-hub-v2	https://github.com/VitorMRodovalho/ai-pm-hub-v2/issues/4
